,name,titles,rating,comments
143,Arunkumar,Best phone ever purchased,5,Hands Down Apple beats Android. I have been an Android user for all my life until now and now I realise what I have been missing out. It might take a few days to get comfortable with the new UI but it’s all worthwhile. The user experience is fabulous and the camera is almost DSLR level. Sound and video watching experience is also awesome. All in all the price is justified unlike popular beliefs where IPhone is considered overpriced.
144,Abhishek,Read this before switching from Android,2,"If are switching from Android here are the following things that will frustrate you in apple:1. Video recording doesnt have pause button2. Almost every app needs paid licence. Eg A proper pdf viewer3. Cant save files on a folder and use it in explorer.4. Settings of each app can only be accessed via settings and not the individual app. So eg if you are in camera app, need to change resolution, need to come out of it and change it in settings5. There is no select all button in most apps like messaging, gmail, gallery etc. happy ticking off each item6. Face id has this eventually annoying animation that cant be turned off.7. If you prefer call recording, it takes a periodically paid app to place a background conference call and record at its end to show your recorded calls8. The otg adapter is over 500 times more expensive than android otg adaptor.9. Similarly all accessories are more expensive than their value. They just provide a snob effect10. Sometimes you would wonder how to get to the previous screen without reaching to the far top left back button on screen. But dont worry there isnt and the gestures dont work. Eg open a product image on flipkart or amazon and try to close it. Will take some time to figure it out.11. Display resolution is nowhere close to the similar price ranged android phones12. The new back tap feature to take a screenshot etc often gets triggered when you keep the phone on a desk13. There is no keyboard that shows numbers on the top line. So we have to swap no. And letter keys. Imagine entering an alphanumeric captcha14. Cant have a blank home screen to highlight wallpaper15. No battery % on the notification bar16. If you have old mp3 songs, they cant be simply beamed from your old android to iphone, need to attach phone to a computer and import via itunes.17. And dont get me started on connecting to other phones, via bluetooth or nfc. Even if you some manage to get a file on iphone, theres a good chance itll be useless. I wanted to import contacts using vcf backups. Security that puts shackles on you own feet.18. Try changing iphone ringtone to your downloaded tune. Not possible unless we use a thirdparty app.19. Cant even select all text from a page with a single click. What is with you people and select all?But hey. I get to show off my new iphone 🤬"
145,Medha Rajak,Value For Money,5,After 1 year I must say it’s a good product. 1st I am worried about for service bcs In my Native place their is no service centre near about 300km but No worries right now. No issue till date.A product with classCamera GoodBattery full day use (without gaming)IOS superbA few things like call recording 3rd party applications if added it will take to next level
146,Deepesh(justauselessfellow),Value For Money,4,"First of all the colour of the phone itself is so comforting that I love it. When it comes to performance it is Top Notch and everyone knows how iPhone works so no doubt there. No fingerprint scanner but Face ID can work almost everywhere so you’ll face no problem there.Screen response time is very accurate there’s no delay or lag and when it comes to battery life. You can pass a day or two very easily doing normal tasks but yeah the 5W charger in the box is very slow so if you’re not getting a charger from now it’s not bad.When it comes to camera the detail and all is very accurate, portrait mode does exceptionally well and the video recording is supported up to 4K 60fps. Obviously you can’t enjoy  it in 720p screen but it’s there.So overall the iPhone 11 delivers the best value for money now that it’s around 55k so definitely if you’re going to buy your first iPhone just like me you should definitely go for it."
147,Titrus,Apple the best in its class,3,"iPhones are the most premium mobile devices money can buy. If u have a budget just go for it, You won’t regret it.Coming to iPhone 11 it’s the most affordable of the lot and feels really premium. Though it’s not 5G but it doesn’t matter 5G won’t be coming anytime soon and even if it comes it would be very expensive so one can easily go for it. Coming to the lcd screen trust me won’t notice any difference it’s Apple quality LCD and the company would not compromise on quality. Camera is best especially in the low light performance is really impressive. And coming to the battery life it’s really impressive on moderate uses u can easily get 8+ hours of screen on time."
148,Pvm,MY DREAM HAS BEEN COMPLETED❤️‍🔥😭🥳🥳,5,Thanks a lot amazon and dealer. I have purscahed the iphone 1- 128gb green colour was sa superb all of youu please don’t take any tension. By seeing reviewing they are only spreading neagtivity of amazon but i know it is best online marketing platform beacause of the amazon my dream completed today thanks a lot please don’t hesisate buy it fast from this platform❤️❤️❤️🥳
149,Shrey,Quality Product,5,"First iPhone 😍🥳 Performance, Camera , battery , build quality , top notch 🤩 the only problem i faced is heating issue while gaming otherwise best 😍 i got it at ₹40k in big billion days sale"
150,Abhishek,iOS users gotta accept it’s iPhone 11.,2,"Nothing to dislike about the product and seller.Security: I only hope that apple will come up with an iOS update to add option for those wanting to disable swipe after the phone is unlocked with Face ID.Camera quality: Could see visible grains in photos taken even during daylight as compared to the photos taken from iPhone 5s even though it’s without crisp details. iPhone 11 boasts of camera features, else the picture quality isn’t impressive. Video quality is good though.Battery: It’s not a gaming phone even though it runs popular titles smoothly. So, it will go about an entire day in moderate usage without much to play.Voice assistant: Siri is few seconds slower to respond to ‘Hey Siri.’Sound: Sounds good while watching videos. Watch videos with good quality audio in landscape mode/widescreen for better experience since it has speakers on top and on the bottom. Use EarPods/AirPods for the better.Overall, it’s a good buy in 2020 with not much to bargain for what you pay."
151,Abdulrehman,Good,4,Need to improve battery life
152,Rajaganapathi,Amazing,4,Loved it
153,Sayan Sardar,NYC in this price,4,Battery is not working for longer day sometimes volume get automatic very low but good in this price if you want best iPhone then don’t buy in sell I think it’s use phone
154,Ayush Shukla,Great upgradation,5,"I upgraded from iPhone 6 to 11. So certainly there’s great change i can feel. Though, the look & aesthetics are pretty much same, except for a center button not being there in iPhone 11. But, i accustomed to the new system pretty easily. Rest everything else is same for aesthetics. There’s a great difference in the audio & visual quality, very good cam & the sound is too too good. It can easily beat some sound bar, or Bluetooth speakers."
155,ALRIN,Excellent!!,4,"Overall phone is excellent. You can go for it.But one suggestion to all, don't buy any products using Amazon Pay ICICI Credit Card, you will be charged nicely. That too if you are choosing NO EMI COST option then gone case, get ready to pay extra charges including interest charges and GST against each installments and products. Whatever they show in calculation details (Structure) all bullshit. I nicely charged for this product by selecting EMI option and just to save 1000/- I paid extra 2000/- for this product.And I purchased one more product 'Hoodie' the cost was 799/- by using Amazon Pay ICICI Card it costed for me 942.82 including GST even though it was a one payment.So my sincere suggest don't use *Amazon Pay ICICI Credit Card at all*. And don't go for any EMI options its better to buy in one payment to avoid additional charges. No body will help you once it is charged to you. ICICI Customer care they play very safe game."
156,Abhishek,Amazon is best nd their sellers are too good personally thanks to apario.,2,"First of I would like to share my experiences after placed order of Iphone 11 128 GB black mobile in sale with discount price.I was worry about product quality nd delivery because lots of negative reviews seen on YouTube nd also in this platform.Some people claimed that they received fake products or defective products so I was also lill bit tense .I placed this order dated 19.01.21 nd got my iphone 11 22nd morning , for precaution I done recording delivery process nd unboxing too .Now I can say that people shouldn't doubt on Amazon and their products which they deliver.My primary phone is iPhone 12 Pro Max nd this one is my secondary phone because it's size matters for me , very handy 6.1 inch screen size so it's comfortable to use single hand .Quality is best , battery life 100% nd camera quality is also becnchmark of this segment.Warranty is now active when activate phone.😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇"
157,RAJU KUMAR,Best phone to buy,4,Good quality Phone
158,vishal ,Worthy till now(2021) .,5,"iPhone is known for their industry leading camera performances. iPhone 11 is a great phone. A lot of  reviews out there , I don't have much to talk about. It's camera is absolutely fantastic. Nice battery backup. But when I charge it with the 20 watt power adaptor it slightly heats up the phone. That's not a big concern. It's just slightly and if you don't want that then you could use a 12 watt power adaptor as a solution. It's still a good phone in 2021 . So I highly recommend this if you want to buy ."
159,Kapil Pandey,Best in the series,2,"I am writing the review after 6 months of my purchase and it's one of the nice feelings but the only disappointment is with the camera which is not as I expected! Overall I will give the 4.5-star rating, oh ok battery shell life is also good compared to the previous generation"
160,Customer,I Phone is available easily on Amazon.,5,Very good product. Amazon is great platform to buy I phone. I phone First month working nicely but second month I faced network issues on the I phone thanks to warranty’s of Apple within a month a received the replacements of the phone.
161,Premchandra,The best overall,5,"I really like the performance while playing games, while shooting 4k videos, and the battery life. While the camera may be the best on a smartphone, sometimes i do prefer to use my professional camera, but for every other task, it is good.The video stabilisation is also the best on a smartphone but not quite on the same level as panasonic cameras.The screen, well i cant really tell any difference between this and a 1080 or 1440p screen, it's really good. The bezels on the side do stand out though (not bothered by the notch, that's functional),If you zoom out to the ultrawide while shooting videos, you do lose the good stabilisation.Overall it's a great product, it has the best processor, sufficient RAM that you won't notice, and it being an apple product will keep getting updates for a long time, making it a long lasting phone, the camera is the best in a smartphone and you will be happy using it. When you buy an apple product you pay for the software developments and updates that come with itEdit after 4 months: battery maximum capacity still at 100%, brightness might feel less in direct sunlight, I'm a heavy user but my phone lasts a whole day. If i go for an outing with photography or likewise in mind, I never have to worry about battery doing. Heavy apps like Lightroom do drain the battery somewhat."
162,Abhishek,Very good phone but not a significant improvement over the previous-gen models,2,"So, I got this phone on June 14, 2020. First impressions - It is a tad too big to my liking and very slippery. A Spigen rugged case is highly recommended.Apple should start giving different skins and themes to customise the phone. The battery life is awesome only if you keep it in low power mode. Else it will not last even eight hours. In battery saver, you can literally watch six three-hour movies. In short, a full day's work of keeping FB, Twitter, Instagram, Gmail, YouTube active can be accomplished.The charging is very slow. For a full charge from 2%, you end up wasting 3.5hrs. Apple is doing the height of chindigiri now by not providing earphones as well as the power adapter. What if I am an all-new introduction to the Apple ecosystem.I am not a fan of the camera or perhaps I am a bad photographer. Unfortunately I don't have any images on me. Lost my phone 😢. Booked another 11 though during the Great Indian Festival."
163,Anuj kumar,Best in class,4,"People might be wondering , is 64 GB enough ??It is actually more than enough if you are a normal user . You can keep photos and few games. It will not hit your storage so much .If you love to record videos especially in 4k .. Go for 256 GB version.I am a normal user and this phone is best for me"
164,Ebin.vs,"I am not an apple lover before, but Now I am Just In Love With Apple 🍎",5,"                    The media could not be loaded.
                



 While other cell phone manufacturers are making tremendous headway in this space,🥰 Apple continues to lead in innovation, technology, design and practical functionality with its highly integrable iPhone line up.❤️‍🔥 Video Stabilisation is OP ❣️😍 These phones are extremely user friendly, integrate and share data seamlessly across other Apple devices and take the guesswork out how to stay connected today.🦊 The only thing I don’t like on the new design is that they no longer have a input for headphones and/or auxiliary cords. I know it’s a bit old school, but it would be nice not to be “forced” into expensive AirPods and not being able to play music if you have an older car that isn’t equipped with Bluetooth but does have an auxiliary jack.…"
165,neha,"Excellent battery, not so bad screen, slow charging, heavy phone",5,"Pros -1. All the benefits of an iPhone. (Superb ios experience, smoothness, speed, touchscreen etc etc etc)2. In this time when smartphones giving backup of 20+ hrs in a single charge are considered a good one. This phone has the best battery life in iPhones till now. It easily gives 36 hrs battery life with normal usage.3. Sound is loud.Cons:-1. Extremely slow charging:- it take approximately 3 hrs to charge this phone from 10% to 100%. You have to buy a fast charger separately. In the pack they were giving 5W charger. But i think with newer models you need to buy the brick separately as they are giving only the charging cable. You can get 20W power brick from apple website for ₹1900. That should solve this slower charging issue for you.2. Heavyweight- this phone is pretty big and heavier to hold.Iphone x - 174 gmsIphone xs - 177 gmsIphone 11 - 193.3 gmsIphone 12 - 162.4 gms"
166,Ashish Parihar,Awesome ❤️,4,"Brilliant phone with fantastic features at an unbeatable price. To all those naysayers comparing Android with iOS, I have just one thing to say - Use iOS once and then we?ll see who comes out trumps. Face ID Unlock is best in class, amazing camera clarity, super fast processor, Battery that lasts more than a day with a single charge. Do you wish for anything more? Nah. All things packed in one phone. The one, the only, the Master of all."
167,Srisanth Bhat,Genuine Apple Device,5,"Product : iPhone 11 (White, 128GB)Occasion : Amazon's Great Indian Festival, 2020Price : ₹49,999Seller : Apparel Retail Private Ltd., Tamil Nadu Key Points on Amazon :1) Received it by one and half day.2) No damaging or used product(Its Brand New).3) Warranty got applied only after booting up the device.4) I was worried about online fraud, but thank god this purchase isn't one.First impressions  &  Key points:1) Very premium phone.2) Loaded with features.3) Camera performance is good.4) Haven't tested battery yet, but seems to be good.5) Face ID is super fast.6) Glad to receive accessories[Feeling sad for people seeing it in coming years ;)]7) Back panel is extra prune to fingerprints. So, case is highly recommended.8) Same with front display. Suggest you to apply a tempered glass.Overall I'm satisfied with my purchase and impressed with Amazon and Seller for this experience.PS: These are 1st impressions, I'll be reviewing it again."
168,Abhishek,Go for it 🥳,2,"This is the best iPhone you’ll ever get(Bought in amazon sale) for this price. I was afraid to order from amazon but that’s wasn’t a prob after receiving. Think twice if you’re making switch from android, coz you’ll miss lot of things when it comes to ease to use and customisations. Man you’ll feel android is cheap(except oxygen and pure android), that fluidity, damn the haptic motor (sucks in most of androids). Here comes the big surprise for me, the “Battery” backup is great for an iPhone which i didn’t except. It gives you 1 and half to two days  of normal usage. It gets warm and bit hot when you play games and sucks the juice fast. Animations are smooth as hell and you don’t need to worry about OS upgrades for at least 4 years in which apple is shines keeping their old devices updated. Be ready burn your pockets coz slowly you’ll get into apple ecosystem which feels convenient and awesome. Will update after six months."
169,Shinchan,Best iPhone at this price range. Good Camera & UI..,4,"                    The media could not be loaded.
                



 Finally bought this for my lil bro. He's been wanting to buy an iPhone since many years now. Finally with good discount we bought this. The phone feels amazing to hold in hand and use. The dimensions of the phone are so properly designed that you can easily use with one hand. The camera is amazing even on this as well. The screen despite of being LCD is very good to look at and iOS is very fluid and smooth. Overall battery performance is good for medium user to kind of heavy user. The white colour looks amazing. Do buy 20w charger or else it will take hours to charge your phone with the charger which comes inside it. Now the shortcomings of moving to iOS from Android - the app available from Apple to transfer data may or may not work. And there's literally no Free way to transfer data apart from physically transferring everything to your laptop and then again transferring to iPhone. The dual SIM usage might be a trouble for you if you are switching from latest Android to iOS. Whole texting and calling. Perhaps it will take some time to getting used to. Overall if you love iOS or always wanted iPhone this is a good one better that XR and definitely than SE. If budget permits go for 11 pro/11 pro max."
170,Rohit chauhan,Good battery and Camera,4,my review after using 10 days.The camera was very nice to click some best pics.Special night mide feature gives you the best shots in night times.battery backup was just decent for my usage it’s giving a two days backup for me.
171,Nikhil gowda,Good phone,5,It's good phone
172,Lizzy,Battery health is not upto the mark as expected,5,"Camera, display awesomeBattery health is not upto the mark"
173,Nitin G.,Entered the apple eco system,5,I bought it from the seller darshan !! My first iphone ; no issue of hanging and all that.Was working smoothly.but rest is like bliss.After 3months use:In my case its genuine phone no issue on hanging and all that.Apple has some standards which are above every phone maker.I own a mac also and seamless connection in between both.Battery backup is quite not upto the mark but 20watt charger does the work pretty well.
174,Abhishek,Worth the money!,2,"I bought this on 05th of August,2021. This is my first iphone. Before this I was using OnePlus 7. The one plus 7 after using for 1.5 years started to hang quite often thereby reducing the overall performance. Prior to one plus 7, I've used one plus 5 for 2 years. Battery draining was a major issue for both of these. I wanted to buy Iphone. Battery backup is better than One plus phones. Obviously this is at par with one plus when it comes to overall performance. I'm having ipad also and the battery backup of the ipad is also good."
175,Amazon Customer,Defective product,5,"Actually I ordered iphone 11 64 gb on 6th oct and the delivery was at 7th oct. On 7th oct I didn’t got the product as they said there’s something technical issue in exchange same on 8,9,10,11th oct. Then at 12 oct amazon reordered the product and i got it on 13th oct . But when I open the product there was a issue in rear wide angle camera as ig was blurry and foggy . So i gave a complaint on it and asked for the replacement of product,they said it’s not our concern you have already got a replacement product. Then on 14th oct they said talk to apple service centre and bring a job sheet regarding it and we’ll give you a replacement. So when I bought the job sheet and asked for replacement they we’re like we can’t help you we will not give you a replacement. One of the worst service given by amazon.. @amazon.in"
176,Ankit,Excellent phone (even in comparison to iphone 12 when you consider the price.),5,"I got it for 48.5k (128 GB version) and at this price point its a an excellent product (compare it with oneplus 9 but will beat it on performance, longevity and camera from in case if these are your priorities). Its a real value for money when compared to iphone 12 mini (upwards of 65K+ for 128GB but smaller battery) and iphone 12 (80k+ for 128GB variant). You wont miss much on camera and performance front. True that the new boxy design is sexier and the screen has improved. But the premium you have to pay is too big (around 20k).P.S: I would strongly suggest to go for 128 GB version irrespective of the version of iphone. 64GB is too less and you will start to encounter space issues within six months or so (if you are a casual user)."
177,VINOTHSINGH,IPhone11 - value for money,5,"iPhone11 is my second apple product which I purchased recently after iPad Air and as I am pretty happy with iPad I really felt of switching to iPhone from android. iPhone11 is absolutely working fine for me and the battery lasts longer, Face ID to irks very fast and the apps do respond quickly even with 10 or more apps in open. The Face ID which is being used to login to apps work perfectly  and I could open locked mobile or the apps very much conveniently. A little bit of heat happens to occur when I charge the mobile but that’s normal not to the extreme . I am happy with the product… I continue to go with Apple products going further. It’s value for the money …"
178,Imsu Aier,Good,4,Good
179,Sunny,Apple is awesome,5,Love d phone. Buttery smooth. Nice battery backup. Up to date software.
180,Abhishek,I just love iPhone 11 !!!,2,"The only word to use for this Phone would be ""Perfect"". It's a perfect piece of art. I was fed up from using android phones and just wanted to move to the ios Platform. I was confused Between iPhone X and iPhone 11 and after a lot of Research and Youtube Searches, I Chose iPhone 11 and trust me it was one for the best decisions of my life. The UI is super smooth, the Build quality is amazing and the camera is just beauty. I am just falling in love with this phone. Although its a little bit costly but trust me its worth spending money on this piece of tech.Pros -- Camera is Amazing- Water-resistant- 4K Recording- Fluid Smooth touch- Never Lags in Heavy Gaming- And 100s of more ProsCons -- Haven't found any yet !!!So if you want to Switch to ios platform from android then just go for it and Chose iPhone 11 as your next device."
181,sohan singh,Value for money,4,"Value for money, nothing is better than the iPhone. I am the first time user of iPhone pre io was using android and before buying the iPhone 11 I also have any doubts in my mind like battery life and all but seriously on a single change you will get the entire day. ( Note-Not for heavy gamers ),The camera is fabulous nothing can compete with the iPhone camera, processed works flawlessly."
182,Anil verma,The iPhone for everyone!,3,"Alright, this review is going to be a little long so hear me out.First things first. Delivery was on time and the seller provided us with a genuine product. So thumbs up 👍  for that.Let me talk a little about the phone 📱. Out of all its siblings, this was one is the most reasonable one.✅ It has the A13 Bionic processor meaning it is one of the best in the smartphone industry.✅ All-day battery life.✅ A great degree of water & dust resistance.✅ Wireless charging✅ An extra ultra-wide camera✅ An extra SIM via eSIM (Only Jio & Airtel provide this for now)✅ The excellent iOS support that is guaranteed for years to come so you never miss out on the new and exciting software features.But confused about getting the iPhone 11 Pro and Max version? Well, you will be paying a lot more for the AMOLED screen and the extra lens camera. Otherwise, the phones are nearly identical.A high recommendation for this product."
183,ajay,Great Amazon festival buying,4,"Bought this as opening of Great Indian Festival opening for prime members and very surprised to get delivered on same day. This shows the preparation done by Amazon for such sale program. Also want to mention that the price was so great that I didn't saw yet same low price till now. That's the benefit for early buyersAbout product, few things like to mention here with personal experience. No finger print sensor which I believe should be added,  face recognition works very well including in low light and recognition is very fast compare to other brandsBattery life is good, experience the superior quality of photo,  my observation is other brands provide more number of camera but photos are too much processed for more brighter image and loose the original image quality. Other things observed is data speed, although using same network provider and home Wi-Fi, but experience is better in iphone 11"
184,Tushar Bhargava,very down than iphone 12………very far from iphone 12 …. better prefer android than iphone11,5,bgmi heating issue ….. camera very down than iphone ………very far from iphone 12 …. better prefer android than iphone11  or go for iphone 12
185,dr.divya sahu,“Right amount of everything” - True beast,4,"After using it for around 10 months, now I’m giving my review. Really. Now, I can feel why iOS users don’t want to shift to an Android device. I don’t gonna explain unnecessary things. But one thing is sure that Android is nothing in front of iOS due to its open-source nature. Every brand is offering good display, good camera, flagship processor and more. But there is no match with real life performance with iPhone 11. You can still go for 11 instead of 12 or 12 mini as it will worth every penny for a long run. If you’re addicted to customizations or so many false myths then you should stick with Android. iPhone really teaches you a true meaning of a smartphone and what it should be. Hope you guys understand. Final words: it’s like an investment that will show its true value in the long term period."
186,Abhishek,Just right amount of everything! 😉,2,"After seeing so many negative reviews, before buying this beast I was really confuse, whether to buy from Amazon or not. Many people have claimed that Appario Retail Private Ltd. are not delivering good products. But in my case they have done a great job. I received my product today without any damage or clone.Guys believe me they have really improved their delivering services and security.If you are planning to switch from android to iOS then go for it and buy this iPhone 11 from Amazon without any single doubt.😊😊😊"
187,yuvam s.,Reliable battery life,5,"Nothing much needs to be said about an iPhone in general. But I am impressed by the battery life on iphone 11, compared to iPhone XR. I am not a power user / gamer but a moderate business user with about 5 calls a day and about 4 hours of screen usage on email and business Apps. The wide angle camera addition is a useful step up from iphone XR."
188,Soumik,Go for it !,5,Camera is one of the best if not the best. Battery is good enough for 3100mAh. Face ID is very fast. 60hz screen but feels like 90hz due to very smooth optimization of the iOS and apps. PUBG runs very smooth but warms abit. Don't look at the specs and compare with Chinese company phones. Their specs are marketing gimmick. Apple focus on the product quality not product false specs. The LCD is best LCD of all smartphone there is. Size is in direct middle and fits well in pocket. Build quality is top notch. Speakers are extremely good and haptic vibration is also very good. I ordered on 16 and received and expected delivery was 24 but got it in 20. If you’re spending more than 40k on a phone then always buy iPhone. Phone was made in September.
189,KP,iPhone 11,5,I like the phone very much and the battery back up was too good and no complaints regarding myself and apple always prove themselves with the best software by providing to customers and only thing is price was little higher from mid range of other branded phones
190,Imran Ahmed,Apple iphone 11 stops working in a week's time. Quite unusual would like a replacement,4,"This is the 10th day of the iphone 11 purchase, and it has stopped working, it does not switch on  !We would like to return / replace the product but the return window is closed two days ago. Is it a software setup?This iphone was bought from Appario Retail on 21 Nov 22.Would appreciate a feedback and replacementThanks for any help"
191,Bhumika,Dissatisfaction,5,"I took 2 iphone 11 one on last year and second on this year. But, I received earphones and charger for same price which i purchased on last year but didn't receive any accessories for the phone which i purchased this year. Apple is just earning money under the name of not using plastic."
192,Abhishek,Display is worst but its iPhone,2,Display quality is worst.....but its iphone....rest is best
193,Sunny Bhavsar,Battery health drops in 4/5 months in 80%,5,Amazing Photo Quality All over okkBut Battery is very poor…If U are playing BGMI then 4/5 months battery should 80% even if you are using a Normal way
194,Aditya Sharma,"Overall, easily the best value for your money",4,"Easily the best overall mobile phone for nearly two years now, and with good reason. Gifted a purple one to my mother. She was using a Oneplus X for a few years, and she loves the 11. The transition from android was smoother than expected. iOS and iPhone have come a long way from the days of iPhone 6.Pros: that battery, that camera, iOS, Apple care.Cons: are you kidding me?OK, if I had to nitpick, the only annoying thing about iOS is having to use Garage Band to make my own ringtones from songs.Otherwise, it's a pleasure to use this phone each time you pick it up."
195,Aravinth,Good Quality phone from apple with some flaws,4,"I have been using iphone 11 for the last 1 month & these are my findings:1. Battery lasts barely a day, if u use the phone frequently. Using Google maps drains the phone completely within 4 hrs.2. Camera quality is exceptionally well during portrait shots & low light shots & front facing camera is also good.3. Face recognition is blazingly fast but don’t work in angles.4. Display size is good, & fonts/text are clear to read, color representation on screen is good despite not having oled screen5. Charger out of the box is pathetically slow. I always use my ipad charger to charge the iphone 11, and it usually charges from 20% to 90% with the ipad charger within an hour.6. You need to invest on a good quality back case/cover & tampered glass to protect the phone (personally i like the Ringke case)7. Phone heats up sometimes during heavy usage."
196,Lekhrajsingh,Excellent Purchase at an excellent price,4,"Coming from an iPhone 7 Plus, this is a big upgrade. Don't disregard the phone because of its display. Personally, I'm not a Fan of OLED displays and their unnatural colours. But if you love OLED screens, this still isn't a deal breaker.Battery life is great. I am a heavy user and I'm able to squeeze more than 1 day of usage.Ordered during the Amazon Great Indian Festival sale for an excellent price. The phone came with that old packaging, including the charger and earphones but date of import, September 2020.Product was delivered within 13h of placing the order.The negative side is, Amazon doesn't mention the Apple Serial Number or the phone's IMEI Number on the invoice for some weird reason.But the phone's warranty did get registered only the day I turned it on an activated. So I don't think that is an issue."
197,Hariprasad,My first iphone,5,"Despite being a serious android user , after reading and researching a lot about iPhones , finally I decided to bought it , and to my surprise it turns out pretty well , yes the packing of Amazon was good but not up to the marks as this item would be considered costly item and so the packing should have been much better, the delivery time was good and intact I received it before only so full marks on the delivery process. Regarding the phone it is quite a thing to catch the eye with it’s mint green color and super amazing screen and the camera is a beast, the built quality is top notch and you will feel the sturdy product. Yes it’s little difficult to shift from android to iOS but once you get a hang of it then you will start loving it .If you really wanna buy a good phone with statisfaction then you can buy this."
198,Abhishek,Iphone 11 perfect phone,2,Iphone 11 is perfect phone but only  one issue battery and heating
199,Amazon Customer,महंगे शौक 😅,5,"don't need purchase apple product when you can't afford.. because after purchased a iPhone you have purchase every service from apple.. like music download, video download.. etc"
200,Prince,Best iphone ever,4,"Reviewed iPhone 11 after using one month, upgraded from iPhone 6s plus with which i’ve experienced 4 years as secondary phone and well iPhone’s features touched me. Now about 11 its features give so premium feel, but not satisfied for some reason. I don’t know its value for money or not but If 11 is ur primary phone then somewhere u must feel about money matters. Battery is good but not for a whole busy day with all its features. Its terrible thing is, some heating issues while fast charging and heavy using but this could be managed. Rest features  like Camera, face lock , mic, speaker else are good average as this is iphone. Well I’m not a heavy user so enjoying this iphone 11 so much"
201,Nitesh Kumar,Best Buy In 2021,4,"Hi friends,Maine iPhone 11 (128gb) buy kiya tha 25 Mar 21 ko or delivery hui 27 mar 21.Is review ko main part main divide karta hun.01. Display: IPS LCD HD+ Koi dikkat nahi karti hai kafi majedar hai colour accuracy bahut badiya hai lekin agar aap OLED display se switch kar rahe ho to thoda sa colours fikke lag sakte hainTrue Tone sabse badiya bindass features mainse ek hai apko kabhi bhi apni display ki brightness ko dekhne ki jarurat hi nahi hai ye ambient lighting ke hisab se auto adjust kar leti haiFinally Display Best hai...... 4.5/5Camera: Great but Video mode main Night Mode or hona chahiye tha and All camera main night mode hona chahiye tha 4.5/5"
202,Sharayu,After 3 months use - Good,5,"Hi,I am using I phone 11 128 last 3 months.Camera - In sunlight photos is excellent but in nigh or in party light photo is not so good.Battery - After 3 months of use battery health came on 99% and with in 1 an hour battery can full charge with original iPhone charger and run for completely 24 hours. Note - I am not a gamer.Style & Performance - As expected from apple product “Excellent”.No heating. No lagging. No hanging in my I phone.Overall worth it and go for it."
203,Jatin K.,Good,4,
204,Abhishek,Happy with the product but not happy with the old phone exchange process,2,"Actually, I ordered the phone (on 2 July) without checking the reviews, as I believed in the Apple quality and Amazon delivery (I am using iPhone since 2012). Later, when I checked the negative comments (around 15% of overall comments), I was bit worried, as all people commented saying they faced heating issues/camera problem/audio and sound issues. However, I received my mobile yesterday (7 July), fortunately everything is good. I will update my review, if I encounter any aforementioned problems in the future.I gave 4 stars instead of 5 as I had a lot of problem while exchanging my older phone. The delivery was initially scheduled on 6 July, the delivery guy was uneducated and didn't know the exchange process, I wasted my 4 hours for this process on that day. Finally, on 7 July the new delivery guy came and resolved the process."
205,liyakhat Khan,Worth Buying!,4,"I have used both Android and iOS devices in the past. In fact before purchasing iPhone 11 I had Samsung S10. Working as a Software Engineer I know how important the Data Security is and we all know when it comes to privacy, no brand can beat .Pros:1. Camera Performance is absolutely great! Check out some photos that I have clicked.2. Battery Performance is phenomenal. It easily last for a day with a single charge.3. With the power of Apple’s A13 Bionic chip the performance is exceptionally well.Cons:1. Disappointing factor is Display. Though iPhone 11 has a good liquid retina HD display, considering the price point I think Apple could have provided OLED Super Retina display.2. Bezels are thick and looks old fashionedApart from these I don’t feel there are any concerns."
206,Mohd Tauqeer,For the first time IPhone Buyers,5,"Got it for an amazing deal, Thank you Amazon.This is my first iPhone and it’s damn good. Had seen some reviews saying that the screen is not good, but let me tell you guys that this is the best LCD screen you’ll ever get in an phone. The phone is on the heavy side and needs time to get used to it. And Apple operating system is holding up good and their Face ID is damn fast.I need not comment on the camera quality as it is among the best mobile camera that is available at this price range. I will post some pics clicked by the camera for reference.Talking about the battery life, it is kinda decent will last you easily for a day with more than moderate usage.Would highly recommend this if you are planning to buy your first iPhone."
207,VARSHA,One Of the most incredible iphone Apple has launched after long time,4,I have switched from iPhone 8plus to iPhone 11 and I must say I am really impressed and speechless I can't ask more than this.1 - Best Lcd you won't disappoint  I am myself product designer and pixel pepper display plays a very important role but am really impressed with this display.2 - Size of the phone is perfect not to big not to small and I am guessing loads people may be concerned about that big bezel or notch compare to iPhone 11 pro or 11 pro max after using for a while you don't even realize about that.3 - Everythings looks so good in this phone using the app in this phone is a completely different experience if you come up from old iPhone with big bezels4- Face ID is just one of the best features. Loads people still cry about touch id not there but they are so wrong.Face ID is so fast and so cool I am just loving it.5- Camera Kills all the flagship android phone. What amazing photos you can click with this phone night mode is the rockstar.So Bottomline whoever is thinking to buy this phone just go for it you won't regret
